concurrency,requests,throughput_req_per_s,succeeded,errors
1,20,0.49,20,0
100,2000,41.42,2000,0
250,5000,102.38,4996,4
500,10000,190.52,9914,86
1000,20000,313.76,19442,558
1200,24000,280.58,20573,3427
1500,30000,247.49,20351,9649
2000,40000,7.73,1879,38121
