concurrency,requests,throughput_req_per_s,succeeded,errors
1,100,673.09,100,0
10,1000,2084.56,1000,0
20,2000,2097.44,2000,0
40,4000,2251.58,3900,100
50,5000,2195.38,4941,59
80,8000,1467.97,3900,4100
90,9000,1517.78,3900,5100
100,10000,1477.79,7767,2233
125,12500,1228.02,7760,4740
150,15000,1205.81,11489,3511
200,20000,1274.67,19211,789
250,25000,1015.57,11760,13240
