concurrency,requests,throughput_req_per_s,succeeded,errors
10,200,1892.02,200,0
500,10000,610.61,8570,1430
1000,20000,1827.78,18991,1009
1050,21000,1563.49,17867,3133
1100,22000,865.73,15695,6305
1200,24000,760.06,19527,4473
1500,30000,410.64,20649,9351
